school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Bass-Hoover Elementary,Frederick County Public Schools,Bass-Hoover Elementary Frederick County Public Schools,39.09304,-78.198736,87,586,14.85,38.5,591.74,831,8719,136,2885,12570,7438383,Medium Poverty,Title I,4.3,2.1,2.1,0.3975903614,49,49,0,6.4,63,0.4819277108,0.5180722892,0.1118760757,0.8881239243
Bassett High,Henry County Public Schools,Bassett High Henry County Public Schools,36.727681,-79.962964,271,1090,24.86,88.7,1086.75,484,6384,346,3501,10715,11644268,High Poverty,Non-Title I,6.7,5.6,0,0.6109589041,46,49,0,9,64.5,0.4913242009,0.5086757991,0.1671232877,0.8328767123
Bath County High,Bath County Public Schools,Bath County High Bath County Public Schools,38.033655,-79.795015,32,187,17.11,44.2,186.33,615,13803,125,6566,21108,3933079,Medium Poverty,Non-Title I,7.4,0,0,0.5531914894,32,54,4,18.5,71.8,0.5106382979,0.4893617021,0.1223404255,0.8776595745
Battlefield Elementary,Spotsylvania County Public Schools,Battlefield Elementary Spotsylvania County Public Schools,38.263736,-77.541234,124,665,18.65,44.2,674.89,882,7050,594,4296,12821,8653078,Medium Poverty,Title I,20,10,8,0.4910979228,48,44,0,6,68.25,0.4940652819,0.5059347181,0.1216617211,0.8783382789
Battlefield Middle,Spotsylvania County Public Schools,Battlefield Middle Spotsylvania County Public Schools,38.262139,-77.541272,217,823,26.37,48.3,822.33,324,7425,594,4296,12639,10393637,Medium Poverty,Non-Title I,10,8.3,3.3,0.5326086957,42,56,0,5,51.8,0.5036231884,0.4963768116,0.1376811594,0.8623188406
Battlefield Park Elementary,Hanover County Public Schools,Battlefield Park Elementary Hanover County Public Schools,37.626141,-77.296463,11,381,2.89,16.9,399.14,728,10762,66,2256,13812,5513101,Low Poverty,Non-Title I,7.7,0,0,0.1573604061,29,71,0,0,76.75,0.4796954315,0.5203045685,0.1827411168,0.8172588832
Bay View Elementary,Norfolk City Public Schools,Bay View Elementary Norfolk City Public Schools,36.928629,-76.179648,117,463,25.27,53.3,517.2,1278,7811,645,3545,13279,6867720,Medium Poverty,Title I,7.7,2.6,0,0.5568400771,39,56,2,7.7,68.5,0.450867052,0.549132948,0.07899807322,0.9210019268
Bayside 6th Grade Campus,Virginia Beach City Public Schools,Bayside 6th Grade Campus Virginia Beach City Public Schools,36.85751,-76.138697,56,358,15.64,67.2,355.66,2699,14986,0,0,17685,6289951,High Poverty,Title I,6,2,0,0.7643678161,53,47,0,12,64.5,0.4913793103,0.5086206897,0.1494252874,0.8505747126
Bayside Elementary,Virginia Beach City Public Schools,Bayside Elementary Virginia Beach City Public Schools,36.895123,-76.179548,83,455,18.24,57.8,489.35,2985,12897,0,0,15883,7772255,Medium Poverty,Title I,10.3,0,0,0.6155419223,56,39,0,5.1,62.75,0.4692622951,0.5307377049,0.1676891616,0.8323108384
Bayside High,Virginia Beach City Public Schools,Bayside High Virginia Beach City Public Schools,36.86968,-76.151313,539,1939,27.8,52.8,1934.37,1197,10512,0,0,11709,22649060,Medium Poverty,Non-Title I,3.8,8.3,0,0.6408016444,49,46,4,4.5,69.6,0.5084832905,0.4915167095,0.1305241521,0.8694758479
Bayside Middle,Virginia Beach City Public Schools,Bayside Middle Virginia Beach City Public Schools,36.867146,-76.159351,185,757,24.44,69.4,759.73,2111,13163,0,0,15275,11604529,High Poverty,Title I,7.6,2.5,0,0.7238219895,50,46,2,12.7,64.8,0.5157068063,0.4842931937,0.1335078534,0.8664921466
Beaverdam Elementary,Hanover County Public Schools,Beaverdam Elementary Hanover County Public Schools,37.933275,-77.642262,21,278,7.55,26.5,278.2,609,12090,66,2256,15021,4178936,Low Poverty,Non-Title I,3.7,3.7,0,0.2678571429,14,83,3,3.7,70,0.5107142857,0.4892857143,0.1214285714,0.8785714286
Bedford Elementary,Bedford County Public Schools,Bedford Elementary Bedford County Public Schools,37.326493,-79.535814,62,424,14.62,61.5,420.12,1365,7447,28,3585,12425,5219830,Medium Poverty,Title I,2.8,2.8,0,0.6453900709,59,38,0,2.8,59.25,0.4846335697,0.5153664303,0.1205673759,0.8794326241
Bedford Hills Elementary,Lynchburg City Public Schools,Bedford Hills Elementary Lynchburg City Public Schools,37.438425,-79.211178,86,371,23.18,92.7,367.22,1338,9203,508,4317,15366,5642665,High Poverty,Title I,0,8.3,0,0.5403225806,50,42,0,5.6,53.25,0.4892473118,0.5107526882,0.1962365591,0.8037634409
Beech Tree Elementary,Fairfax County Public Schools,Beech Tree Elementary Fairfax County Public Schools,38.852963,-77.181194,54,341,15.84,60.3,372.47,1271,12089,694,6054,20109,7489866,Medium Poverty,Title I,4.9,0,0,0.5753424658,23,74,2,4.9,75,0.4602739726,0.5397260274,0.1643835616,0.8356164384
Bel Air Elementary,Prince William County Public Schools,Bel Air Elementary Prince William County Public Schools,38.644745,-77.319993,54,383,14.1,76.9,399.79,1418,11125,571,3640,16753,6697816,Medium Poverty,Title I,14,2.3,2.3,0.7746835443,27,71,0,7,51,0.4810126582,0.5189873418,0.1569620253,0.8430379747
Belfast Elementary,Russell County Public Schools,Belfast Elementary Russell County Public Schools,36.979016,-81.866301,17,123,13.82,48.4,138.63,698,5939,648,3877,11162,1547446,Medium Poverty,Title I,0,0,0,0.5211267606,45,55,0,0,94.5,0.5070422535,0.4929577465,0.09154929577,0.9084507042
Belfield Elementary,Greensville County Public Schools,Belfield Elementary Greensville County Public Schools,36.721079,-77.539348,56,160,35,98.8,155.27,5231,5461,0,2940,13632,2116713,High Poverty,Title I,6.3,12.5,6.3,0.6564417178,76,18,0,25,54,0.5030674847,0.4969325153,0.1226993865,0.8773006135
Bell Creek Middle,Hanover County Public Schools,Bell Creek Middle Hanover County Public Schools,37.617806,-77.340885,101,972,10.39,29.6,970.55,508,9276,66,2256,12107,11750260,Low Poverty,Non-Title I,12.3,8.6,1.2,0.3735926305,40,57,1,6.2,73,0.4902763562,0.5097236438,0.1668372569,0.8331627431
Belle Heth Elementary,Radford City Public Schools,Belle Heth Elementary Radford City Public Schools,37.132311,-80.557304,47,955,4.92,48.5,962.23,425,6581,93,1179,8278,7964978,Medium Poverty,Title I,2.4,0,0,0.2597938144,48,51,0,1.2,58.75,0.4835051546,0.5164948454,0.1216494845,0.8783505155
Belle View Elementary,Fairfax County Public Schools,Belle View Elementary Fairfax County Public Schools,38.771817,-77.061056,66,391,16.88,31.4,410.53,602,11470,694,6054,18820,7726162,Medium Poverty,Non-Title I,6.7,2.2,0,0.3599033816,28,70,2,11.1,61,0.5,0.5,0.229468599,0.770531401
Bellevue Elementary,Richmond City Public Schools,Bellevue Elementary Richmond City Public Schools,37.531501,-77.421058,55,206,26.7,100,212.42,594,14576,3624,5962,24756,5258630,,,,,,0.63,33,62,0,10.5,32.75,0.455,0.545,0.105,0.895
Bellwood Elementary,Chesterfield County Public Schools,Bellwood Elementary Chesterfield County Public Schools,37.391072,-77.441384,102,488,20.9,90.2,488.13,752,8373,543,4412,14080,6873018,High Poverty,Title I,9.6,0,0,0.6584867076,41,59,0,9.6,41.75,0.490797546,0.509202454,0.1288343558,0.8711656442
Belmont Elementary,Prince William County Public Schools,Belmont Elementary Prince William County Public Schools,38.657029,-77.239059,94,470,20,72.2,516.68,1281,10157,571,3640,15649,8085559,Medium Poverty,Title I,24.5,2,2,0.668627451,31,69,0,18.4,64,0.4921568627,0.5078431373,0.1352941176,0.8647058824
Belmont Ridge Middle,Loudoun County Public Schools,Belmont Ridge Middle Loudoun County Public Schools,39.090276,-77.490481,71,1053,6.74,10.6,1056.17,274,14534,13,2246,17067,18025494,Low Poverty,Non-Title I,4.7,1.9,0.9,0.1543560606,32,64,2,6.6,78.6,0.4786729858,0.5213270142,0.0928030303,0.9071969697
Belvedere Elementary,Fairfax County Public Schools,Belvedere Elementary Fairfax County Public Schools,38.838559,-77.168671,70,496,14.11,52.3,557.89,1172,12137,694,6054,20057,11189713,Medium Poverty,Title I,5,0,0,0.5144404332,35,63,2,6.7,76.33333333,0.440433213,0.559566787,0.1823104693,0.8176895307
Belview Elementary,Montgomery County Public Schools,Belview Elementary Montgomery County Public Schools,37.170831,-80.51156,61,255,23.92,48.8,268.2,913,8948,175,3854,13890,3725223,Medium Poverty,Title I,3.2,0,0,0.496350365,52,45,3,0,65.25,0.4817518248,0.5182481752,0.1167883212,0.8832116788
Benjamin Franklin Middle,Franklin County Public Schools,Benjamin Franklin Middle Franklin County Public Schools,37.017778,-79.884721,340,1487,22.86,50.5,1477.58,1194,8630,55,3463,13342,19713494,Medium Poverty,Non-Title I,4.9,2.8,0.7,0.5739130435,48,50,0,9.9,68.8,0.5036789298,0.4963210702,0.1785953177,0.8214046823
Benjamin Syms Middle,Hampton City Public Schools,Benjamin Syms Middle Hampton City Public Schools,37.053661,-76.330546,259,978,26.48,91.1,971.59,878,7041,446,2738,11103,10787731,High Poverty,Title I,4.8,1.6,0,0.5364850976,52,42,2,22.6,60.2,0.4840698869,0.5159301131,0.1695786228,0.8304213772
Bennett Elementary,Prince William County Public Schools,Bennett Elementary Prince William County Public Schools,38.728117,-77.463333,123,712,17.28,23.9,712,263,9028,571,3640,13502,9613508,Low Poverty,Non-Title I,9.3,1.9,1.9,0.2777777778,30,70,0,5.6,70.5,0.4699300699,0.5300699301,0.1513888889,0.8486111111
Bensley Elementary,Chesterfield County Public Schools,Bensley Elementary Chesterfield County Public Schools,37.43557,-77.451152,178,624,28.53,90.2,623.3,715,6990,543,4412,12660,7890898,High Poverty,Title I,8.8,0,0,0.6084828711,44,56,0,5.9,43,0.484502447,0.515497553,0.1256117455,0.8743882545
Berkeley Elementary,Spotsylvania County Public Schools,Berkeley Elementary Spotsylvania County Public Schools,38.121285,-77.616941,53,253,20.95,48.8,271.91,685,11234,594,4296,16810,4570703,Medium Poverty,Title I,6.5,6.5,6.5,0.5198555957,24,73,0,6.5,78,0.4584837545,0.5415162455,0.238267148,0.761732852
Berkeley Middle,Williamsburg-James City County Public Schools,Berkeley Middle Williamsburg-James City County Public Schools,37.274387,-76.734968,75,615,12.2,40.4,618.65,378,8619,559,4980,14535,8992383,Medium Poverty,Non-Title I,6.3,3.1,1.6,0.381933439,28,66,1,6.3,71.8,0.5015873016,0.4984126984,0.1426307448,0.8573692552
Bessie Weller Elementary,Staunton City Public Schools,Bessie Weller Elementary Staunton City Public Schools,38.138652,-79.072722,90,376,23.94,74.5,374.64,1370,7510,1308,3745,13934,5220218,Medium Poverty,Title I,6.7,6.7,0,0.4081081081,56,41,0,0,58.33333333,0.5243243243,0.4756756757,0.1081081081,0.8918918919
Bethel Elementary,Gloucester County Public Schools,Bethel Elementary Gloucester County Public Schools,37.410684,-76.605608,66,458,14.41,38,494,1383,7081,283,4322,13069,6456196,Medium Poverty,Title I,2.3,2.3,0,0.3858585859,41,57,0,9.1,75.5,0.4444444444,0.5555555556,0.1797979798,0.8202020202
Bethel High,Hampton City Public Schools,Bethel High Hampton City Public Schools,37.053461,-76.429775,370,1778,20.81,44.7,1780.33,538,8226,446,2738,11948,21271995,Medium Poverty,Non-Title I,2.5,2.5,0,0.4435261708,40,52,2,11.6,73.8,0.5228650138,0.4771349862,0.1465564738,0.8534435262
Bethel Manor Elementary,York County Public Schools,Bethel Manor Elementary York County Public Schools,37.094179,-76.423846,53,589,9,43.7,615.19,1471,4919,19,2934,9343,5747534,Medium Poverty,Title I,6,0,0,0.3140243902,40,60,0,0,87.25,0.4710365854,0.5289634146,0.1234756098,0.8765243902
Bettie Weaver Elementary,Chesterfield County Public Schools,Bettie Weaver Elementary Chesterfield County Public Schools,37.549211,-77.65217,10,582,1.72,3.2,585.79,0,6764,543,4412,11719,6864602,Low Poverty,Non-Title I,4.3,2.2,2.2,0.03951890034,44,54,0,6.5,88.75,0.4604810997,0.5395189003,0.1013745704,0.8986254296
Beulah Elementary,Chesterfield County Public Schools,Beulah Elementary Chesterfield County Public Schools,37.410862,-77.490541,165,969,17.03,60.1,966.38,450,6021,543,4412,11426,11041614,Medium Poverty,Title I,6.7,1.3,0,0.531540848,51,47,1,12,41.75,0.5025853154,0.4974146846,0.0961737332,0.9038262668
Beverley Manor Middle,Augusta County Public Schools,Beverley Manor Middle Augusta County Public Schools,38.146395,-79.12185,143,616,23.21,39.8,606.84,252,8338,653,3214,12456,7559004,Medium Poverty,Non-Title I,7,5.3,3.5,0.4415584416,45,48,2,7,69.6,0.4626623377,0.5373376623,0.08603896104,0.913961039
Big Island Elementary,Bedford County Public Schools,Big Island Elementary Bedford County Public Schools,37.531364,-79.416065,22,145,15.17,48.4,144.26,1256,9363,28,3585,14231,2052993,Medium Poverty,Title I,0,6.7,0,0.4726027397,63,38,0,6.7,82.25,0.5068493151,0.4931506849,0.08904109589,0.9109589041
Binford Middle,Richmond City Public Schools,Binford Middle Richmond City Public Schools,37.549067,-77.462243,55,407,13.51,100,404.36,523,9644,3624,5962,19753,7987146,,,,,,0.4805825243,25,70,3,7.9,53.8,0.5533980583,0.4466019417,0.1868932039,0.8131067961
Birdneck Elementary,Virginia Beach City Public Schools,Birdneck Elementary Virginia Beach City Public Schools,36.809216,-75.993403,134,510,26.27,67.5,612.61,2608,12172,0,0,14781,9054932,Medium Poverty,Title I,10.9,0,0,0.6366559486,49,49,2,8.7,50,0.461414791,0.538585209,0.2090032154,0.7909967846
Blacksburg High,Montgomery County Public Schools,Blacksburg High Montgomery County Public Schools,37.210768,-80.459924,189,1297,14.57,17.7,1305.1,361,7205,175,3854,11595,15133251,Low Poverty,Non-Title I,5.5,1.8,0,0.1951588502,30,65,0,3.7,84.6,0.4924127466,0.5075872534,0.0915279879,0.9084720121
Blacksburg Middle,Montgomery County Public Schools,Blacksburg Middle Montgomery County Public Schools,37.214758,-80.461422,130,930,13.98,24.3,923.47,191,7949,175,3854,12169,11237965,Low Poverty,Non-Title I,3.6,1.2,0,0.2664509169,34,63,2,3.6,76,0.4689880305,0.5310119695,0.117583603,0.882416397
Blackstone Primary,Nottoway County Public Schools,Blackstone Primary Nottoway County Public Schools,37.072838,-77.994646,76,337,22.55,90.9,392.79,634,6073,2045,3990,12742,5004948,High Poverty,Title I,0,2.9,0,0.64781491,54,43,3,5.9,51,0.4858611825,0.5141388175,0.1259640103,0.8740359897
Blackwell Elementary,Richmond City Public Schools,Blackwell Elementary Richmond City Public Schools,37.51635,-77.445036,145,390,37.18,100,390.53,1006,9941,3624,5962,20533,8018581,,,,,,0.7904509284,34,66,0,21.9,26.75,0.4615384615,0.5384615385,0.1087533156,0.8912466844
Blair Middle,Norfolk City Public Schools,Blair Middle Norfolk City Public Schools,36.868562,-76.296393,162,1232,13.15,64,1223.22,1112,7743,645,3545,13044,15956236,Medium Poverty,Non-Title I,10.3,13.4,2.1,0.5899753492,41,53,1,16.5,53.6,0.501232539,0.498767461,0.160230074,0.839769926
Bland County High,Bland County Public Schools,Bland County High Bland County Public Schools,37.241346,-81.109166,49,372,13.17,46.8,370.89,29,8025,1577,3016,12648,4690965,Medium Poverty,Non-Title I,2.7,5.4,2.7,0.435483871,47,51,1,6.8,76.2,0.497311828,0.502688172,0.1720430108,0.8279569892
Blue Ridge Elementary,Patrick County Public Schools,Blue Ridge Elementary Patrick County Public Schools,36.600208,-80.510299,35,238,14.71,69.2,258.41,1219,6820,708,3662,12409,3206519,Medium Poverty,Title I,0,0,0,0.6,67,30,0,0,78.75,0.462745098,0.537254902,0.1529411765,0.8470588235
Blue Ridge Middle,Loudoun County Public Schools,Blue Ridge Middle Loudoun County Public Schools,39.128166,-77.707198,87,832,10.46,11.8,829.62,362,17155,13,2246,19776,16406768,Low Poverty,Non-Title I,2.2,0,0,0.1481927711,31,66,2,4.4,78.6,0.492159228,0.507840772,0.1662650602,0.8337349398
Bluestone Elementary,Harrisonburg City Public Schools,Bluestone Elementary Harrisonburg City Public Schools,38.445963,-78.906166,134,560,23.93,66.9,557.91,728,8616,625,3535,13504,7533991,Medium Poverty,Title I,0,2.2,0,0.5963963964,27,73,0,4.4,43.25,0.5027027027,0.4972972973,0.0972972973,0.9027027027
Bon Air Elementary,Chesterfield County Public Schools,Bon Air Elementary Chesterfield County Public Schools,37.527956,-77.563179,65,559,11.63,36.1,585.86,0,6842,543,4412,11797,6911595,Medium Poverty,Non-Title I,4.1,2,0,0.3756345178,43,55,2,4.1,71.25,0.4771573604,0.5228426396,0.1776649746,0.8223350254
Bonnie Brae Elementary,Fairfax County Public Schools,Bonnie Brae Elementary Fairfax County Public Schools,38.80399,-77.310094,86,747,11.51,18.4,798.49,449,9497,694,6054,16695,13330575,Low Poverty,Non-Title I,9,3,1.5,0.1977329975,20,77,1,11.9,71,0.4672544081,0.5327455919,0.1712846348,0.8287153652
Bonsack Elementary,Roanoke County Public Schools,Bonsack Elementary Roanoke County Public Schools,37.331721,-79.882207,15,323,4.64,16.7,328.82,728,9909,193,2984,13814,4542210,Low Poverty,Non-Title I,0,0,0,0.1950464396,61,39,0,6.9,90.25,0.4334365325,0.5665634675,0.1362229102,0.8637770898
Booker T Washington High,Norfolk City Public Schools,Booker T Washington High Norfolk City Public Schools,36.853192,-76.266527,143,940,15.21,96,936.82,1081,8589,645,3545,13860,12984397,High Poverty,Title I,6.3,10,1.3,0.7413087935,24,56,5,15,44.2,0.5061349693,0.4938650307,0.2167689162,0.7832310838
Booker T. Washington Elementary,Suffolk City Public Schools,Booker T. Washington Elementary Suffolk City Public Schools,36.7224,-76.571592,99,293,33.79,99.7,349.66,1456,9281,579,4378,15694,5487697,High Poverty,Title I,2.9,0,0,0.5710144928,43,54,3,5.7,41.75,0.4985507246,0.5014492754,0.08985507246,0.9101449275
Boones Mill Elementary,Franklin County Public Schools,Boones Mill Elementary Franklin County Public Schools,37.090644,-79.929426,20,263,7.6,43.5,277.87,1163,8408,55,3463,13089,3636970,Medium Poverty,Non-Title I,6.5,3.2,0,0.3682310469,55,39,0,6.5,76.5,0.5126353791,0.4873646209,0.1263537906,0.8736462094
Boonsboro Elementary,Bedford County Public Schools,Boonsboro Elementary Bedford County Public Schools,37.4529,-79.260816,19,348,5.46,22,344.98,215,7087,28,3585,10915,3765528,Low Poverty,Non-Title I,3.4,3.4,0,0.2088235294,39,61,0,10.3,79,0.4911764706,0.5088235294,0.06764705882,0.9323529412
Botetourt Elementary,Gloucester County Public Schools,Botetourt Elementary Gloucester County Public Schools,37.416746,-76.534101,66,538,12.27,42.1,570.07,721,8226,283,4322,13553,7725916,Medium Poverty,Title I,7.8,0,0,0.3861209964,43,55,0,7.8,76.25,0.4555160142,0.5444839858,0.1441281139,0.8558718861
Bowling Green Elementary,Caroline County Public Schools,Bowling Green Elementary Caroline County Public Schools,38.024405,-77.342017,178,692,25.72,60.9,740.93,1103,6754,248,3380,11485,8509307,Medium Poverty,Title I,13,4.3,4.3,0.5448369565,52,46,0,8.7,44.75,0.4918478261,0.5081521739,0.15625,0.84375
Boyce Elementary,Clarke County Public Schools,Boyce Elementary Clarke County Public Schools,39.094959,-78.065705,82,279,29.39,24.9,306.5,279,8550,305,3849,12984,3979505,Low Poverty,Title I,12.5,3.1,3.1,0.32247557,52,48,0,12.5,57,0.4885993485,0.5114006515,0.1237785016,0.8762214984
